"Uncategorized","Organize Imports","Shift+Ctrl+O","Editing Xtext Source"
"Edit","Delete","Delete","In Windows"
"Refactor - Java","Show Refactor Quick Menu","Shift+Alt+T","In Windows"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Run/Debug","Debug JUnit Plug-in Test","Shift+Alt+D P","Editing Xtend Source"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing Java Source"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Terminal view commands","Copy","Ctrl+Insert","Terminal Widget in Focus"
"Source","Go to Next Member","Shift+Ctrl+Down","C/C++ Editor"
"Source","Organize Imports","Shift+Ctrl+O","In Windows"
"Navigate","Go To Previous Unread Task","Alt+Up","In Tasks View"
"Run/Debug","All Instances","Shift+Ctrl+N","In Windows"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","Shift+Alt+Up","In Tasks View"
"Terminal view commands","Terminal view insert","Alt+S","Terminal Typing Connected"
"Source","Open Element","Shift+Ctrl+T","In C/C++ Views"
"Navigate","Open Resource","Shift+Ctrl+R","In Windows"
"Navigate","Find References","Shift+Ctrl+G","Editing Xtext Source"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Text Editing","Text End","Ctrl+End","Embedded Xtext Editor context"
"Refactor - Java","Move - Refactoring ","Shift+Alt+V","In Windows"
"EMF Code Generation","Generate Code","Shift+Alt+G","In Windows"
"Perl Source","Pod::Checker","Shift+Ctrl+D","Editing Perl Source"
"Edit","Find Next","Ctrl+K","Editing Text"
"Source","Rename In File","Shift+Alt+R","Editing Ant Buildfiles"
"Edit","Matching Tag","Shift+Ctrl+>","Editing in Structured Text Editors"
"Edit","Quick Diff Toggle","Shift+Ctrl+Q","Editing Text"
"Terminal view commands","Terminal view insert","Alt+R","Terminal Typing Connected"
"Text Editing","Scroll Line Up","Ctrl+Up","Embedded Xtext Editor context"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Uncategorized","Insert left guillemet","<","Editing Xtend Source"
"Terminal view commands","Terminal view insert","Alt+T","Terminal Typing Connected"
"Source","Add Include","Shift+Ctrl+N","C/C++ Editor"
"Editor Commands","Organize patches","Shift+Ctrl+O","Specfile Editor Context"
"Uncategorized","Insert right guillemet","Ctrl+>","Editing Xtend Source"
"Perl Source","Toggle Mark Occurrences","Shift+Alt+O","Editing Perl Source"
"Navigate","Go to Matching Bracket","Shift+Ctrl+P","Editing Java Source"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Terminal view commands","Terminal view insert","Alt+B","Terminal Typing Connected"
"Navigate","Go to Next Member","Shift+Ctrl+Down","Editing Java Source"
"View","Zoom In","Ctrl+=","In Windows"
"Perl Source","Perl::Critic","Shift+Ctrl+C","Editing Perl Source"
"Editing","Toggle Comment","Ctrl+7","Editing Xtext Source"
"File","New","Ctrl+N","In Windows"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Properties Files"
"Run/Debug","Force Return","Shift+Alt+F","In Windows"
"Window","Open Model Element","Shift+Ctrl+F3","In Windows"
"Editing","Go to Matching Bracket","Shift+Ctrl+P","Editing Xtext Source"
"Run/Debug","Go to Address...","Ctrl+G","In Disassembly"
"Text Editing","Move Lines Up","Alt+Up","Embedded Xtext Editor context"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Embedded Xtext Editor context"
"WindowBuilder Pro","Empty command","Shift+Ctrl+A","WindowBuilder Java scope"
"Edit","Find Next","Ctrl+K","Embedded Xtext Editor context"
"Window","Next Editor","Ctrl+Right","In Windows"
"Search","Show Occurrences in File Quick Menu","Shift+Ctrl+U","In Windows"
"Perl Source","Toggle Comment","Ctrl+/","Editing Perl Source"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"Run/Debug","Inspect","Shift+Ctrl+I","In Dialogs and Windows"
"Navigate","Open Include Browser","Ctrl+Alt+I","In C/C++ Views"
"Refactor - Java","Extract Local Variable","Shift+Alt+L","In Windows"
"Edit","Find Previous","Shift+Ctrl+K","Editing Text"
"Navigate","Open Type Hierarchy","F4","C/C++ Editor"
"Perl Source","Validate Syntax","Shift+F5","Editing Perl Source"
"Edit","Incremental Find","Ctrl+J","Embedded Xtext Editor context"
"Task Repositories","Open Selected Task","Ctrl+Enter","In Tasks View"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Text Editing","Select Previous Word","Shift+Ctrl+Left","Embedded Xtext Editor context"
"Edit","Select Previous Element","Shift+Alt+Left","Editing in Structured Text Editors"
"Terminal view commands","Terminal view insert","Alt+D","Terminal Typing Connected"
"Window","Update Project","Alt+F5","In Windows"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Help","Search Perldoc","Shift+Ctrl+H","Editing Perl Source"
"Text Editing","Insert Line Above Current Line","Shift+Ctrl+Enter","Embedded Xtext Editor context"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Uncategorized","Copy SHA-1","Ctrl+C","In Git Reflog View"
"Run/Debug","Debug JUnit Test","Shift+Alt+D T","Editing Xtend Source"
"Terminal view commands","Paste","Shift+Insert","Terminal Widget in Focus"
"Edit","Toggle Block Selection","Shift+Alt+A","Embedded Xtext Editor context"
"Run/Debug","Run Java Application","Shift+Alt+X J","In Windows"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"StartExplorer","Open Files With Default Application","Ctrl+Alt+A","In Windows"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Editing","Format","Shift+Ctrl+F","Editing Xtext Source"
"Editing","Toggle Comment","Shift+Ctrl+C","Editing Xtext Source"
"Focused UI","Make Less Interesting","Shift+Ctrl+Alt+Down","In Windows"
"Text Editing","To Upper Case","Shift+Ctrl+X","Embedded Xtext Editor context"
"Terminal view commands","Terminal view insert","Alt+L","Terminal Typing Connected"
"Editing","Select Enclosing Element","Shift+Alt+Up","Editing Xtext Source"
"Text Editing","To Lower Case","Shift+Ctrl+Y","Editing Text"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Edit","Select Previous Element","Shift+Alt+Left","Editing Java Source"
"Run/Debug","Run Maven Build","Shift+Alt+X M","In Windows"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Run/Debug","Debug Java Application","Shift+Alt+D J","In Windows"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Edit","Select Next Element","Shift+Alt+Right","Editing Java Source"
"Terminal view commands","Terminal view insert","Alt+N","Terminal Typing Connected"
"Window","Toggle Split Editor (Horizontal)","Ctrl+_","In Windows"
"Refactor - C++","Rename - Refactoring ","Shift+Alt+R","In C/C++ Views"
"Edit","Restore Last C/C++ Selection","Shift+Alt+Down","C/C++ Editor"
"Text Editing","Next Word","Ctrl+Right","Embedded Xtext Editor context"
"Text Editing","Text Start","Ctrl+Home","Embedded Xtext Editor context"
"Navigate","Activate Task","Ctrl+F9","In Windows"
"Run/Debug","Run JUnit Plug-in Test","Shift+Alt+X P","Editing Xtend Source"
"Source","Back","Alt+Left","In Macro Expansion Hover"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing in Structured Text Editors"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Source","Quick Assist - Extract method","Ctrl+2 M","Editing Java Source"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"Run/Debug","Debug","F11","In Windows"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"Source","Surround With Quick Menu","Shift+Alt+Z","In Windows"
"Run/Debug","EOF","Ctrl+D","In I/O Console"
"Views","Show View (Search)","Shift+Alt+Q S","In Windows"
"Run/Debug","Step Over","F6","Debugging"
"Edit","Find Previous","Shift+Ctrl+K","Embedded Xtext Editor context"
"Changelog","Insert ChangeLog entry","Ctrl+Alt+C","Comparing in an Editor"
"Views","Show View","Shift+Alt+Q Q","In Windows"
"Views","Show View (Cheat Sheets)","Shift+Alt+Q H","In Windows"
"Source","Explore Macro Expansion","Ctrl+#","C/C++ Editor"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"Text Editing","Delete to End of Line","Shift+Ctrl+Delete","Editing Text"
"Navigate","Go To Next Unread Task","Alt+Down","In Tasks View"
"File","Refresh","F5","In Windows"
"Reverse Debugging Commands","Uncall","Shift+F7","Debugging C/C++"
"Refactoring","Rename Element","Shift+Alt+R","Editing Xtext Source"
"Window","Previous Perspective","Shift+Ctrl+F8","In Windows"
"Git","Paste Repository Path or URI","Ctrl+V","In Git Repositories View"
"Edit","Add Block Comment","Shift+Ctrl+/","Editing in Structured Text Editors"
"Terminal view commands","Terminal view insert","Alt+P","Terminal Typing Connected"
"Editing","Select Previous Element","Shift+Alt+Left","Editing Xtext Source"
"Edit","Select Enclosing C/C++ Element","Shift+Alt+Up","C/C++ Editor"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Source","Show Tooltip Description","F2","Autoconf Editor"
"Navigate","Open Type Hierarchy","F4","In C/C++ Views"
"Source","Sort Lines","Ctrl+Alt+S","C/C++ Editor"
"Text Editing","To Upper Case","Shift+Ctrl+X","Editing Text"
"Task Repositories","New Local Task","Insert","In Tasks View"
"Window","Preferences (General > Keys)","Alt+,","In Windows"
"Task Repositories","Mark Task Unread","Shift+Alt+U","In Tasks Editor"
"Views","Show View ()","Shift+Alt+Q T","In Windows"
"Run/Debug","Run Java Applet","Shift+Alt+X A","In Windows"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View"
"Changelog","Prepare Commit","Ctrl+Alt+V","Editing Text"
"Source","Open Declaration","F3","In Macro Expansion Hover"
"Window","Preferences (C/C++ > Editor > Templates)","Alt+/","In Windows"
"Source","Format","Shift+Ctrl+F","C/C++ Editor"
"Changelog","Prepare Changelog In Editor","Ctrl+Alt+P","Editing Text"
"Task Repositories","Quick Outline","Ctrl+O","In Tasks Editor"
"Edit","Context Information","Shift+Ctrl+Space","In Dialogs and Windows"
"Terminal view commands","Terminal view insert","Alt+Y","Terminal Typing Connected"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Edit","Redo","Shift+Ctrl+Z","In Dialogs and Windows"
"Task Editor","Submit Task","Shift+Alt+S","In Tasks Editor"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Edit","Remove Block Comment","Shift+Ctrl+\","Editing in Structured Text Editors"
"Editing","Restore Last Selection","Shift+Alt+Down","Editing Xtext Source"
"Run/Debug","Run","Ctrl+F11","In Windows"
"Source","Show Source Quick Menu","Shift+Alt+S","In Windows"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"Navigate","Quick Outline","Ctrl+O","WikiText Markup Source Context"
"Navigate","Expand All","Shift+Ctrl+Numpad_Multiply","In Windows"
"Project","Make Target Build","F1","In Windows"
"Source","References in Project","Alt+Q","Editing Text"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Window","Previous View","Shift+Ctrl+Left","In Windows"
"Perspectives","Show Perspective (Git)","Alt+9","In Windows"
"Source","Go to Matching Bracket","Shift+Ctrl+P","C/C++ Editor"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Focused UI","Focus on Active Task","Shift+Alt+H","In Windows"
"Text Editing","Move Lines Down","Alt+Down","Embedded Xtext Editor context"
"WindowBuilder Pro","Switch Source/Design Views","F12","Editing Text"
"Changelog","Format ChangeLog","Esc Ctrl+F","Editing Text"
"Source","Quick Assist - Assign to field","Ctrl+2 F","Editing Java Source"
"Terminal view commands","Terminal view insert","Alt+W","Terminal Typing Connected"
"Terminal view commands","Terminal view insert","Alt+F","Terminal Typing Connected"
"Edit","Format Active Elements","Ctrl+I","Editing in Structured Text Editors"
"Window","Next View","Shift+Ctrl+Right","In Windows"
"Window","Select Maven Profiles","Ctrl+Alt+P","In Windows"
"Window","Quick Access","Alt+Right","Terminal Widget in Focus"
"File","Save","Ctrl+S","In Windows"
"Navigate","Matching Character","Shift+Ctrl+P","Editing in Structured Text Editors"
"Makefile Source","Uncomment","Ctrl+\","Makefile Editor"
"Focused UI","Make Landmark","Shift+Ctrl+Alt+Up","In Windows"
"Text Editing","Previous Word","Ctrl+Left","Embedded Xtext Editor context"
"Source","Show Source Quick Menu","Shift+Alt+S","C/C++ Editor"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Refactor - C++","Toggle Function - Refactoring ","Shift+Alt+T","C/C++ Editor"
"Navigate","Previous Page","Shift+Alt+F7","In Windows"
"File","Close","Ctrl+F4","In Windows"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Terminal view commands","Terminal view insert","Alt+V","Terminal Typing Connected"
"MouseFeed","Last Action Invocation...","Shift+Ctrl+1","In Windows"
"Edit","Shift Left","Shift+Tab","C/C++ Editor"
"Terminal view commands","Terminal view insert","Alt+G","Terminal Typing Connected"
"Window","Show Key Assist","Shift+Ctrl+L","In Dialogs and Windows"
"Run/Debug","Toggle Breakpoint","Shift+Ctrl+B","In Windows"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Views","Show View (Declaration)","Shift+Alt+Q D","In Windows"
"Source","Remove Occurrence Annotations","Shift+Alt+U","Editing Java Source"
"Navigate","Quick Outline","Shift+Ctrl+O","Task Markup Editor Source Context"
"Views","Show View (Synchronize)","Shift+Alt+Q Y","In Windows"
"Run/Debug","Debug JUnit Test","Shift+Alt+D T","In Windows"
"Source","Add Block Comment","Shift+Ctrl+/","C/C++ Editor"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Perl Source","Format Source","Shift+Ctrl+F","Editing Perl Source"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","In Windows"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editor Breadcrumb Navigation"
"Run/Debug","Debug Java Application","Alt+D J","Editing Xtend Source"
"Source","Forward","Alt+Right","In Macro Expansion Hover"
"Uncategorized","Quick Outline","Ctrl+O","Editing Xtext Source"
"Text Editing","Line End","End","Editing Text"
"Perspectives","Show Perspective (mCode)","Alt+2","In Windows"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Source","Toggle Ant Mark Occurrences","Shift+Alt+O","Editing Ant Buildfiles"
"Views","Show View (Problems)","Shift+Alt+Q X","In Windows"
"File","Print","Ctrl+P","In Windows"
"File","New menu","Shift+Alt+N","In Windows"
"Views","Show View (Variables)","Shift+Alt+Q V","In Windows"
"Changelog","Prepare Changelog","Ctrl+Alt+P","In Windows"
"Refactor - C++","Extract Constant - Refactoring ","Alt+C","C/C++ Editor"
"Text Editing","Select Next Word","Shift+Ctrl+Right","Embedded Xtext Editor context"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editing Java Source"
"Source","Show outline","Ctrl+O","C/C++ Editor"
"Perspectives","Show Perspective (mAll)","Alt+1","In Windows"
"Source","Open Declaration","F3","In C/C++ Views"
"Source","Quick Assist - Assign to local variable","Ctrl+2 L","Editing Java Source"
"Source","Quick Assist - Rename in file","Ctrl+2 R","Editing Java Source"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Search","References in Workspace","Shift+Ctrl+G","In Windows"
"Navigate","Open Task","Ctrl+F12","In Windows"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","In C/C++ Views"
"Terminal view commands","Copy","Shift+Ctrl+C","Terminal Widget in Focus"
"Source","Declaration","Ctrl+G","C/C++ Editor"
"Task Repositories","Mark Task Incomplete","Shift+Alt+I","In Tasks View"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Task Repositories","New Subtask","Shift+Insert","In Tasks View"
"Navigate","Collapse All","Shift+Ctrl+Numpad_Divide","In Windows"
"Refactor - Java","Rename - Refactoring ","Shift+Alt+R","In Windows"
"Source","Go to Previous Member","Shift+Ctrl+Up","C/C++ Editor"
"Window","Activate Editor","F12","In Windows"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Edit","Toggle Block Selection","Shift+Alt+A","Editing Text"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Navigate","Open Remote Task","Shift+Ctrl+Alt+F12","In Windows"
"Run/Debug","Debug Ant Build","Shift+Alt+D Q","In Windows"
"Text Editing","Line Start","Home","Embedded Xtext Editor context"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Views","Show View (Make Target)","F1","Makefile Editor"
"Refactor - C++","Extract Function - Refactoring ","Shift+Alt+M","C/C++ Editor"
"Source","Format","Shift+Ctrl+F","Editing Ant Buildfiles"
"Task Editor","Maximize Part","Shift+Ctrl+M","In Tasks Editor"
"Views","Show View (Outline)","Shift+Alt+Q O","In Windows"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"File","Rename","F2","In Windows"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"File","Close","Ctrl+W","In Windows"
"Uncategorized","Insert left guillemet","Ctrl+<","Editing Xtend Source"
"File","Close All","Shift+Ctrl+W","In Windows"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing in Structured Text Editors"
"Makefile Source","Open declaration","F3","Makefile Editor"
"Refactor - C++","Extract Local Variable - Refactoring ","Shift+Alt+L","C/C++ Editor"
"Run/Debug","Run Java Application","Shift+Alt+X J","Editing Xtend Source"
"Run/Debug","Debug Java Applet","Shift+Alt+D A","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing in Structured Text Editors"
"Task Repositories","Mark Task Read and Go To Next Unread Task","Shift+Alt+Down","In Tasks View"
"Edit","Format","Shift+Ctrl+F","Editing in Structured Text Editors"
"Navigate","Deactivate Task","Shift+Ctrl+F9","In Windows"
"Terminal view commands","Terminal view insert","Alt+E","Terminal Typing Connected"
"Navigate","Next","Ctrl+.","In Windows"
"Editing","Toggle Comment","Ctrl+/","Editing Xtext Source"
"File","Close All","Shift+Ctrl+F4","In Windows"
"Navigate","Backward History","Alt+Left","In Windows"
"Edit","Add Maven Dependency","Shift+Ctrl+D","Editing XML Source"
"Uncategorized","Extract Local Variable","Shift+Alt+L","Editing Xtext Source"
"Task Repositories","Mark Task Complete","Shift+Alt+C","In Tasks Editor"
"Source","Format","Shift+Ctrl+F","Editing Java Source"
"Run/Debug","Resume","F8","Debugging"
"Navigate","Show In...","Shift+Alt+W","In Windows"
"Edit","Incremental Find Reverse","Shift+Ctrl+J","Embedded Xtext Editor context"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Source","Add Block Comment","Shift+Ctrl+/","Editing Java Source"
"Navigate","Go to Previous Member","Shift+Ctrl+Up","Editing Java Source"
"Text Editing","Collapse All","Shift+Ctrl+Numpad_Divide","Editing Text"
"Navigate","Matching Bracket","Shift+Ctrl+P","Editing Perl Source"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"Edit","Word Completion","Alt+/","Editing Text"
"Navigate","Open Include Browser","Ctrl+Alt+I","C/C++ Editor"
"StartExplorer","Show in File Manager","Ctrl+Alt+E","In Windows"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","C/C++ Editor"
"Source","Declaration","Ctrl+G","In C/C++ Views"
"Editor Commands","Prepare Sources","Shift+Ctrl+R P","Specfile Editor Context"
"Editor Commands","Download Sources","Shift+Ctrl+R D","Specfile Editor Context"
"StartExplorer","Start Shell Here","Ctrl+Alt+D","In Windows"
"Refactor - Java","Extract Method","Shift+Alt+M","In Windows"
"Navigate","Next Page","Alt+F7","In Windows"
"Run/Debug","Display","Shift+Ctrl+V","In Dialogs and Windows"
"Source","Surround With Quick Menu","Shift+Alt+Z","C/C++ Editor"
"Source","Open Declaration","F3","C/C++ Editor"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Navigate","Open Declaration","F3","Editing Perl Source"
"Text Editing","Scroll Line Down","Ctrl+Down","Embedded Xtext Editor context"
"Source","Toggle Mark Occurrences","Shift+Alt+O","C/C++ Editor"
"Task Repositories","Mark Task Read","Shift+Alt+R","In Tasks View"
"WindowBuilder Pro","Empty command","Ctrl+Alt+A","WindowBuilder Java scope"
"Views","Show View (Console)","Shift+Alt+Q C","In Windows"
"Navigate","Previous","Ctrl+,","In Windows"
"Source","Explore Macro Expansion","Ctrl+=","C/C++ Editor"
"Edit","Select Next Element","Shift+Alt+Right","Editing in Structured Text Editors"
"Uncategorized","Extract Method","Shift+Alt+M","Editing Xtext Source"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In C/C++ Views"
"Git","Commit...","Ctrl+#","In Windows"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Xtext Source"
"Task Repositories","Mark Task Unread","Shift+Alt+U","In Tasks View"
"Edit","Incremental Find Reverse","Shift+Ctrl+J","Editing Text"
"Views","Show View (History)","Shift+Alt+Q Z","In Windows"
"Window","Maximize Active View or Editor","Alt+Up","Terminal Widget in Focus"
"Window","Show Ruler Context Menu","Ctrl+F10","Embedded Xtext Editor context"
"Source","Indent Line","Ctrl+I","C/C++ Editor"
"Window","Previous Editor","Ctrl+Left","In Windows"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging C/C++"
"Source","Remove Block Comment","Shift+Ctrl+\","C/C++ Editor"
"Run/Debug","Step Return","F7","Debugging"
"Views","Show View (Javadoc)","Shift+Alt+Q J","In Windows"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Embedded Xtext Editor context"
"Changelog","Insert ChangeLog entry","Ctrl+Alt+C","Editing Text"
"Edit","Word Completion","Alt+/","Embedded Xtext Editor context"
"Uncategorized","Open Type in Hierarchy","F4","Editing Xtext Source"
"Refactor - Java","Inline","Shift+Alt+I","In Windows"
"Perspectives","Show Perspective","Alt+PageUp","In Windows"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
